assessment_id,id_no,binomial,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,0,-79.7995,9.32444
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,UCALDAS,PreservedSpecimen,0,-75.05521,7.316034
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-70.3186,-3.5361
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,INPA,PreservedSpecimen,1991,-72.75,-7.883333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1971,-79.76666,9.16666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.5617,3.3611
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.9703,3.9828
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-52.8714,-1.0389
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-78.6319,1.4869
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1977,-79.375,9.23388
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,0,-79.7723,9.34195
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1990,-59.08333333,5.3
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-63.4617,0.6236
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-74.9433,2.3936
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1978,-63.41666,5.98333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,MO,PreservedSpecimen,1983,-62.11666,5.16666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,COL,PreservedSpecimen,1972,-75.0564,7.3167
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1991,-65.25,5.5
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.4989,1.7097
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Universidad de Antioquia,PreservedSpecimen,1999,-75.133333,6.8
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),PreservedSpecimen,2000,-72.457778,0.070278
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-79.9786,0.0161
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-73.5156,7.3419
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2011,-79.7442,9.1565
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),PreservedSpecimen,1994,-72.5,5.333333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,2011,-79.827,9.00733
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2008,-79.9048,9.1247
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-66.2158,1.0994
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-56.6747,3.0247
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-78.1417,1.3308
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-62.7344,5.9047
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Universidad de Antioquia,PreservedSpecimen,2001,-75.080255,5.539711
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Barro Colorado Nature Monument - Soberania National Park,HumanObservation,2011,-79.77443663,9.20040524
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1989,-60.73333333,5.25
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,traits,,0,-79.97470093,9.28087044
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-75.1325,6.9444
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-60.2278,-2.5233
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-75.6936,-1.0689
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,0,-79.8564,9.09719
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,IAvH,PreservedSpecimen,1986,-75.504074,9.846984
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1987,-59.966667,-2.883333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,"CUVC, MO",PreservedSpecimen,1986,-77.0,3.91666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Universidad de Antioquia,PreservedSpecimen,1977,-75.050556,7.216667
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),PreservedSpecimen,1989,-76.316667,6.533333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,0,-79.7726,9.34058
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,IAvH,PreservedSpecimen,0,-72.5,5.33333
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,"CUVC, MO",PreservedSpecimen,1987,-77.0,3.91666
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,NY,PreservedSpecimen,1953,-66.75,3.75
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-69.9303,0.9656
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-72.6092,-7.5442
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,Barro Colorado Nature Monument - Soberania National Park,HumanObservation,2012,-79.77443663,9.20040524
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,HumanObservation,2008,-79.7464,9.1683
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,PanamaPlots,,0,-79.9775,9.28074
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-66.9614,1.9797
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,US,PreservedSpecimen,1990,-59.0833,5.3
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.2733,-5.3011
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-68.1531,1.4003
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-77.2153,8.0797
151956687,22484069,Abarema barbouriana,1,1,1,Condit,2019,Richard Condit,Extant (resident),,,,,,ntt,,0,-76.8158,0.6769
